day,name,time,duration,type
Monday,group cycle ,7:00,45,
,"legs,bums and tums",9:15,60,
,group cycle ,10:15,45,
,yoga,10:15,60,
,group cycle ,17:30,45,
,body conditioning ,18:15,60,
,"legs,bums and tums",19:15,60,
Tuesday,group cycle ,7:00,45,
,body conditioning ,9:30,60,
,core conditioning,10:30,60,
,group cycle ,16:30,45,
,group cycle ,17:30,45,
,yoga,17:30,60,
,tai chi,18:30,60,
Wednesday,step aerobics,9:30,60,
,group cycle ,9:30,45,
,strength,17:15,45,
,yoga,18:00,60,
,group cycle ,18:15,45,
Thursday,group cycle ,7:00,45,
,group cycle ,17:30,45,
,yoga,17:30,60,
,tai chi,18:30,60,
,zumba,19:00,60,
Friday,group cycle ,7:00,45,
,group cycle ,9:15,45,
,hiit,9:15,45,
,"legs,bums and tums",10:00,45,
,group cycle ,17:30,45,
Saturday,,,,
Sunday,group cycle,8:15,45,
,hiit,9:00,40,
