day,name,time,duration,type
Monday,strength and conditioning,9:30,,
,strength and conditioning,17:00,,
,strength and conditioning,17:45,,
,strength and conditioning,18:30,,
Tuesday,strength and conditioning,6:15,,
,hiit,18:00,,
Wednesday,strength and conditioning,9:30,,
,strength and conditioning,17:00,,
,strength and conditioning,17:45,,
,strength and conditioning,18:30,,
Thursday,strength and conditioning,6:15,,
,hiit,18:00,,
Friday,strength and conditioning,9:30,,
,strength and conditioning,16:45,,
,strength and conditioning,17:30,,
Saturday,strength and conditioning,9:30,,
Sunday,strength and conditioning,10:00,,
