day,name,time,duration,type
Monday,pilates,11:00,60,
,group cycle,17:00,45,
,group cycle,18:00,45,
,body conditioning,18:45,60,
,group cycle,19:00,45,
Tuesday,pilates,9:30,60,
,group cycle,12:30,45,
,"legs, bums and tums",16:45,60,
,group cycle,17:00,45,
,combat,17:45,60,
,group cycle,18:00,45,
,yoga,18:45,60,
,group cycle,19:00,45,
,pilates,19:45,60,
Wednesday,yoga,11:00,60,
,"legs, bums and tums",12:30,60,
,boxfit,13:30,30,
,functional fitness,17:30,60,
,group cycle,18:00,45,
,hiit,18:30,60,
,group cycle,19:45,45,
Thursday,"legs, bums and tums",9:30,60,
,group cycle,12:30,45,
,boxfit,14:00,30,
,group cycle,17:00,45,
,body conditioning,17:45,60,
,group cycle,18:00,45,
,pilates,18:45,60,
,dance fitness,20:00,60,
Friday,"legs, bums and tums",9:30,60,
,aerobics,10:30,60,
,functional fitness,17:45,60,
Saturday,group cycle,8:30,45,
,group cycle,9:30,45,
,group cycle,10:30,45,
,pilates,10:30,60,
,body conditioning,11:30,60,
Sunday,boxfit,11:30,60,
,zumba,12:45,60,
,group cycle,14:00,45,
