day,name,time,duration,type
Monday,group cycle ,9:30,45,
,combat,10:15,60,
,aerobics,11:15,60,
,group cycle ,17:45,45,
,zumba,18:15,60,
,strength,18:15,45,
,yoga,19:00,60,
,yoga,19:15,60,
Tuesday,yoga,10:45,60,
,circuit training,11:00,60,
,boxfit,17:00,60,
,step aerobics,17:15,60,
,hiit,18:30,60,
Wednesday,strength,8:45,45,
,body conditioning,9:30,60,
,tai chi,11:30,60,
,strength,12:30,45,
,group cycle ,17:45,45,
,"legs, bums and tums",18:15,60,
Thursday,power pump,9:30,60,
,pilates,10:30,60,
,strength women only,14:30,60,
,group cycle ,16:45,45,
,zumba,17:15,60,
Friday,strength,9:15,60,
,circuit training,10:00,60,
,group cycle ,10:15,45,
,yoga,10:15,60,
,tai chi,11:30,60,
,strength,12:30,45,
,circuit training,17:15,60,
Saturday,circuit training,9:00,60,
,group cycle ,10:00,45,
,pilates,11:00,60,
Sunday,strength,9:15,60,
